epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,321.436,0.20108,0.97148,1,0.10184,0.000551937,0.000551937,0.000551937
2,668.22,0.11034,0.97987,1,0.11018,0.00105278,0.00105278,0.00105278
3,859.576,0.12832,0.97987,1,0.05991,0.00149861,0.00149861,0.00149861
4,4396.46,0.10552,0.97651,1,0.04837,0.00141945,0.00141945,0.00141945
5,4569.58,0.10627,0.97819,1,0.05645,0.00133693,0.00133693,0.00133693
6,4740.38,0.09733,0.97987,1,0.03291,0.00125442,0.00125442,0.00125442
7,4911.08,0.07643,0.97819,1,0.03611,0.0011719,0.0011719,0.0011719
8,5214.36,0.06035,0.98826,1,0.04228,0.00108938,0.00108938,0.00108938
9,5567.77,0.06015,0.9849,1,0.03697,0.00100687,0.00100687,0.00100687
10,5935.38,0.06139,0.96644,1,0.07726,0.000924352,0.000924352,0.000924352
11,6283.09,0.05421,0.98993,1,0.03757,0.000841835,0.000841835,0.000841835
